cx	cy	capitalization	earnings	employees	x	y	sector	name	alias	symbol	vintage	description
502.4	10.9	129	15	129	492.2	0.3	HR Tech	Belong.co		Other	2014	Provides a predictive outbound hiring solution.
41.3	2.6	4	o	4	44.4	0	HR Tech	Glider.ai		Na	2016	Uses AI for personalised candidate outreach and ranking top talent.
69.8	12.2	6	0	6	72	0	HR Tech	Skillate		NA	2016	Uses NLP and deep learning algorithms to parse and rank resumes based on relevance.
146.3	-7.7	1	0	1	147.2	11.4	LegalTech	Lawbot.ai		NA	2016	Uses natural language processing to take the drudgery out of poring through legal contracts.
107.7	-22.1	10	0	10	109.4	0	Marketing Tech	Artifacia		Angel	2015	Helps online brands turn their Instagram content into engaging shoppable galleries.
23.8	-10.8	28	0	28	24.2	0.7	Marketing Tech	MintM		Seed	2012	Offerings include AI-powered digital signage and interactive robotic kiosks, in store analytics, and person identification.
407.8	-17.1	15	0	15	401.4	4.7	Robotics	Bharati Robotics		Other	2013	Developing robotic solutions for service, defense, industrial, and agricultural sectors.
285	29.2	27	0	27	280	-9.7	Robotics	Emotix		Other	2014	Makers of Miko, India’s first companion robot.
276.2	-6.4	5	0	5	279.1	0.6	Robotics	Green Robot Machinery		Seed	2014	Maker of a robot platform for harvesting crops, currently focused on a cotton-picking robot.
507	28.9	398	30	398	502.2	0	Robotics	Grey Orange		Other	2011	Advanced robotics systems for automation at distribution and fulfillment centers.
490	3.7	12	0	12	482.8	1.9	Robotics	Omnipresent Robot Tech		Other	2010	Builds drones built for industrial inspections, emergency response and defence, river cleaning robots, and robots for logistics.
444	-9.4	23	0	23	433.8	-17.1	Robotics	Robosoft Systems		Other	2008	Makes an air duct inspection and aerial crop inspection robot.
460.1	-4.1	19	0	19	455.8	-2.7	Robotics	Sastra Robotics		Other	2012	Working on robotic manipulators, tele-presence robots, robot interfacing and simulation software, prosthetic robotic arm, and more.
134.7	20.8	6	0	6	148.6	3.8	Robotics	Vanora Robots		Other	2014	Combines architecture with robotics, with bespoke products for living spaces.
87.3	16.1	20	0	20	86.8	2.9	Speech/Language Tech	Indiantts		NA	2015	Provides text to speech engine solutions for Indian languages.
199.1	35.6	13	0	13	200.3	0	Speech/Language Tech	Liv.ai		NA	2015	Provides speech API to convert speech-to-text in nine major Indian languages.
280.9	75.1	21	6.7	21	279.2	11.8	Speech/Language Tech	Mihup		Other	2016	Delivers human-like understanding of naturally spoken queries for large, complex content domains.
747.2	28.8	76	4	76	749.7	0.4	Speech/Language Tech	Reverie Language Technologies	A.I.G.	Series A	2009	Provides a Language-as-a-Service platform, and a multilingual keypad with support for 16 Indian languages.
185.6	39.8	3	0	3	182.2	8.5	Speech/Language Tech	Spext.co		Other	2017	Provides a SaaS product that automatically transcribes video and audio content.
247.2	-53.6	59	0	59	258	10	Speech/Language Tech	Ubona		Other	2007	Provides AI solutions in the areas of speech and image recognition, content discovery, music recognition, and more.
289.8	-23.5	126	8.8	126	301	4.5	Speech/Language Tech	Uniphore		Series B	2008	Provides speech analytics, virtual assistant, and voice biometrics services.
431.4	-14.3	4	0.04	4	430	-10.8	Transport	LightMetrics		Seed	2015	Uses computer vision and machine learning for driver monitoring
201.4	13.6	44	2.75	44	209.4	0	Transport	Locus.sh		Series A	2015	Logistics automation platform with in-built route planning, vehicle allocation and 3D packing technology solutions.
321	-54.1	47	16	47	315	-0.7	Transport	Netradyne		Series A	2015	Provides a deep learning-based computer vision solution to improve automotive safety
