Sector,comName,comUrl,comFounded,comLocation,comEmployee,comGlassdoorRatings,comFundAmount,comCompanyStage,Description
HealthTech,Qure.ai,http://www.qure.ai,2016,Mumbai,14,No reviews yet,0,NA,"Aims to use deep learning to diagnose disease from radiology and pathology imaging, and create personalised cancer treatment plans."
LegalTech,Lawbot.ai,http://www.lawbot.ai,2016,Chennai,1,No reviews yet,0,NA,Uses natural language processing to take the drudgery out of poring through legal contracts.
E-Commerce / Retail,Corseco Technologies,http://corseco.in/,2016,New Delhi,5,,0.225,Seed,"Uses AI for visual search, video analytics for retail and web."
E-Commerce / Retail,Thirdwatch,https://www.thirdwatch.ai/,2016,Gurgaon,10,No reviews yet,0,NA,Uses big data and AI for fraud prevention in e-commerce transactions.
HR Tech,Glider.ai,https://glider.ai/,2016," Fremont, California & Bengaluru",4,No reviews yet,o,NA,Uses AI for personalised candidate outreach and ranking top talent.
HR Tech,Skillate,http://skillate.com,2016,Bengaluru,6,4,0,NA,Uses NLP and deep learning algorithms to parse and rank resumes based on relevance.
Speech/Language Technologies,Mihup,http://www.mihup.com,2016,Bengaluru,21,5,6.7,Other,"Delivers human-like understanding of naturally spoken queries for large, complex content domains."
Chatbots,Morph.ai,https://morph.ai/,2016,Gurgaon,6,No reviews yet,0,NA,"Helps enterprises automate customer support, sell products, and generate leads over chat."
Chatbots,Active.ai,http://www.active.ai,2016," Singapore, Bengaluru",34,5,3.5,Other,Uses artificial intelligence (AI) to deliver conversational banking services.
Computer Vision,Corseco.in,http://corseco.in,2016,New Delhi,5,No reviews yet,0,Seed,"Provides visual search, video analytics for retail and web sector."
Computer Vision,Cureskin,http://cureskin.com,2016,Bengaluru,10,No reviews yet,0,Other,An AI dermatologist on your smartphone.
Speech/Language Technologies,Spext.co,http://spext.co,2017," Bengaluru, San Francisco",3,No reviews yet,0,Other,Provides a SaaS product that automatically transcribes video and audio content.
